Institution,Category - ALL,Category - Scheduled Caste(SC),Category - Scheduled Tribe (ST),Category - Other Backward Classes (OBC),Category - Person With Disability (PWD),Category - Muslim,Category - Other Minority Communities,Category - Foreign Students
"Indus International University, Bathu, Una (Id: U-0185)",0.29,NA,NA,NA,NA,NA,NA,NA
INDUS UNIVERSITY (Id: U-0663),0.24,0.19,0,0.17,NA,NA,NA,0
"Institute of Advanced Studies in Education, Churu (Id: U-0396)",0.71,0.53,0.68,1.55,NA,NA,NA,NA
"Institute of Chartered Financial Analysts of India University, Aizawl (Id: U-0346)",0.42,0.67,0.42,NA,NA,0,0.42,NA
"Institute of Chartered Financial Analysts of India University, Meghalaya (Id: U-0343)",0.74,NA,0.8,0,NA,NA,NA,NA
"INSTITUTE OF CHARTERED FINANCIAL ANALYSTS OF INDIA UNIVERSITY, SOLAN (Id: U-0695)",NA,NA,NA,NA,NA,NA,NA,NA
"Institute of Chatertered Financial Analysts of India, Dehradun (Id: U-0561)",0.32,NA,NA,NA,NA,NA,NA,NA
"Institute of Chemical Technology, Mumbai (Id: U-0308)",0.61,0.49,0.3,0.72,NA,0,0.44,NA
"Institute of Liver and Bilary Sciences, New Delhi (Id: U-0106)",0.07,NA,NA,NA,NA,NA,NA,NA
"Integral University, Lucknow (Id: U-0519)",0.3,0.52,NA,0.23,NA,0.24,0.9,NA
"International Institute for Population Sciences, Mumbai (Id: U-0309)",0.55,0.18,0.5,0.35,0,0.12,0.83,NA
"International Institute of Information Technology, Bangalore (Id: U-0221)",0.74,NA,NA,NA,NA,NA,NA,NA
"International Institute of Information Technology, Hyderabad (Id: U-0014)",0.24,0,NA,0.35,NA,0.5,NA,0
"Invertis University, Bareily (Id: U-0520)",0.32,0.2,NA,0.22,0.6,0.17,0.42,NA
"Islamic University of Science & Technology, Pulwama (Id: U-0194)",0.63,NA,NA,NA,NA,NA,NA,NA
ITM UNIVERSITY (Id: U-0633),0.36,0.12,0.15,0.06,NA,NA,NA,NA
"ITM University, Gurgaon (Id: U-0163)",0.46,0.36,NA,NA,NA,1,0,NA
"ITM UNIVERSITY, GWALIOR (Id: U-0648)",0.31,0.22,0.34,0.18,0,0.13,0.48,0.13
"Jadavpur University, Kolkata (Id: U-0575)",0.49,0.42,0.43,0.67,0.1,0.19,NA,1.44
"Jagadguru Ramanandacharya Rajasthan Sanskrit University, Jaipur (Id: U-0397)",0.22,0.2,0.2,0.34,NA,NA,NA,NA
Jagadguru Rambhadracharya Handicapped University (Id: U-0521),0.25,0.24,0.1,0.22,0.25,0.22,NA,NA
"Jagadguru Sri Shivarathreeswara University, Mysore (Id: U-0222)",1.08,1,NA,1.5,NA,NA,0.67,NA
"Jagannath University, Jaipur (Id: U-0398)",0.21,0.07,0.03,0.11,NA,NA,NA,NA
"Jai Narain Vyas University, Jodhpur (Id: U-0399)",NA,NA,NA,NA,NA,NA,NA,NA
"Jain university,Bangalore (Id: U-0223)",0.62,0.48,0.75,0.45,NA,NA,NA,0.79
"Jain Vishva Bharati Institute, Nagaur (Id: U-0400)",0.97,0.43,0.42,0.94,0.15,0.38,0.29,NA
"Jai Prakash Vishwavidyalaya, Chapra (Id: U-0066)",0.67,0.65,0.5,0.6,0,0.92,NA,NA
"Jaipur National University, Jaipur (Id: U-0401)",0.14,0.23,0.19,0.21,NA,0.15,1.03,NA
Jamia Hamdard (Id: U-0107),0.77,1.29,0.5,0.53,0.5,0.58,12.73,0.37
Jamia Millia Islamia University (Id: U-0108),0.43,NA,NA,0.18,0.18,0.54,NA,0.64
"Janardan Rai Nagar Rajasthan Vidyapeeth, Udaipur (Id: U-0402)",0.25,0.15,0.07,0.35,0,0.08,NA,0.3
"Jawaharlal Institute of Post Graduate Medical Education & Research, Puducherry (Id: U-0368)",0.72,0.62,0.36,0.93,NA,NA,0,NA
"Jawaharlal Nehru Centre for Advanced Scientific Research, Banaglore (Id: U-0224)",0.82,NA,NA,NA,NA,NA,NA,NA
"Jawaharlal Nehru Krishi Vishwavidyalaya, Jabalpur (Id: U-0274)",NA,NA,NA,NA,NA,NA,NA,NA
"Jawaharlal Nehru Technological University, Anantapur (Id: U-0016)",0.58,0.6,0.56,0.56,0,0.6,NA,NA
"Jawaharlal Nehru Technological University, Hyderabad (Id: U-0017)",1.48,1.67,0.33,0.88,NA,NA,NA,NA
"Jawaharlal Nehru Technological University, Kakinada (Id: U-0015)",0.64,0.63,0.46,0.61,NA,0.76,0,0.33
Jawahar Lal Nehru University (Id: U-0109),0.92,0.67,1.12,0.5,0.32,NA,NA,1.29
Jawarharlal Nehru Architecture and Fine Art University Hyderabad (Id: U-0018),0.58,0.41,0.41,0.43,0.17,0.32,NA,4
"Jaypee Institute of Information Technology, Noida (Id: U-0522)",0.44,NA,NA,NA,NA,NA,NA,0.5
"Jaypee University of Engeenering & Technology, Guna (Id: U-0275)",0.23,0.26,0,0.14,NA,0.16,NA,NA
"Jaypee University of Information Technology, Waknaghat, Solan (Id: U-0186)",0.46,NA,NA,NA,NA,0.28,0.48,0.27
"Jiwaji University, Gwalior (Id: U-0276)",0.73,0.51,0.45,0.71,NA,NA,NA,NA
JK LAKSHMIPAT UNIVERSITY (Id: U-0657),0.19,0,NA,0.09,NA,0,0,NA
"Jodhpur National University, Jodhpur (Id: U-0403)",0.28,0.9,1.45,0.89,NA,0,0,0
Junagadh Agricultural University (Id: U-0140),0.35,0.4,0.58,0.31,0.25,NA,0.29,0.5
"Jyoti Vidyapeeth Women's University, Jaipur (Id: U-0404)",NA,NA,NA,NA,NA,NA,NA,NA
"Kadi Sarva Vishwavidyalaya, Gandihnagar (Id: U-0141)",0.71,0.62,1.56,0.49,NA,NA,NA,NA
"Kakatiya University, Warangal (Id: U-0019)",0.69,0.61,0.61,0.73,NA,NA,NA,1
"Kalasalingam Academy of Research and Higher Education, Srivilliputhrur (Id: U-0458)",0.46,0.49,0.5,0.51,NA,0.14,0.8,NA
"Kalinga Institute of Industrial Technology, Bhubaneswar (Id: U-0356)",0.56,0.42,0.69,NA,0.18,NA,NA,0.05
"Kalyani University, Kalyani (Id: U-0576)",1.71,1.69,0.72,1.35,0.43,1.52,NA,NA
"Kameshwar Singh Darbhanga Sanskrit Vishwavidyalaya, Darbhanga (Id: U-0067)",0.69,0.45,0,0.41,NA,NA,NA,NA
"Kannada University, Hampi, Kamalapura (Id: U-0226)",0.59,0.31,0.43,0.6,NA,NA,NA,NA
"Kannur University, Kannur (Id: U-0256)",1.82,NA,NA,NA,NA,NA,NA,NA
"KARNATAKA JANAPADA VISHWAVIDYALAYA, GOTAGODI (Id: U-0659)",0.43,0.47,0.4,0.45,NA,NA,NA,NA
Karnataka Sanskrit University (Id: U-0625),0,NA,NA,NA,NA,NA,NA,NA
Karnataka State Dr. Gangubai Hangal Music And Performing Arts University (Id: U-0624),1.08,0.06,1,1,1,NA,0,NA
"Karnataka State Law University, Hubli (Id: U-0227)",0.52,0.44,0.43,0.53,NA,NA,NA,0.25
"Karnataka State Open University, Mysore (Id: U-0228)",1.48,1.11,1.09,1.59,NA,1.82,NA,NA
"Karnataka State Women University, Bijapur (Id: U-0229)",NA,NA,NA,NA,NA,NA,NA,NA
"Karnataka University, Dharwad (Id: U-0230)",0.8,0.38,0.56,0.71,0.47,0.92,NA,0
"Karnataka Vetrinary, Animal & Fisheries Science University, Nandinagar (Id: U-0231)",NA,NA,NA,NA,NA,NA,NA,NA
"Karpagam Academy of Higher Education, Coimbatore (Id: U-0459)",0.33,0.31,0.12,0.32,NA,NA,0.29,0.06
"Karunya Institute of Technology and Sciences, Coimbatore (Id: U-0460)",0.64,0.55,0.49,0.68,NA,0.3,0.7,0.19
"Kavi Kulguru Kalidas Sanskrit Vishwavidyalaya, Ramtek (Id: U-0310)",2.07,0.62,NA,2.14,NA,NA,NA,NA
KAZIRANGA UNIVERSITY (Id: U-0682),0.37,0,0.55,0.41,0.67,0,NA,NA
"Kerala Agricultural University, Thrissur (Id: U-0257)",2.76,2.46,2.62,2.8,2.33,3.39,3.23,0
"Kerala Kalamandalam, Thrissur (Id: U-0258)",1.2,NA,NA,1.33,NA,NA,NA,NA
"Kerala University of Fisheries & Ocean Studies, Kochi (Id: U-0259)",2.1,2.33,1,2.15,NA,NA,NA,NA
KERALA UNIVERSITY OF HEALTH AND ALLIED SCIENCES (Id: U-0630),2.5,NA,NA,NA,NA,NA,NA,NA
"Kerala University, Thiruvananthapuram (Id: U-0260)",1.82,2.15,3.22,2.37,1,NA,NA,0.62
"Kerala Veterinary & Animal Science University, Wayanad (Id: U-0261)",1.46,1.85,1.88,1.45,NA,NA,NA,NA
KING GEORGE MEDICAL UNIVERSITY (Id: U-0523),0.52,0.44,1.2,0.49,NA,0.68,NA,NA
"K.L.E. Academy of Higher Education and Research, Belgaum (Id: U-0225)",3.18,NA,NA,NA,NA,NA,NA,NA
"Kolhan University, West Singhbhum (Id: U-0206)",0.97,1.85,1.16,0.59,NA,NA,NA,NA
"Koneru Lakshmaiah Education Foundation,Guntur (Id: U-0020)",0.33,0.36,0.4,0.24,NA,0.22,NA,0.56
"Kota University, Kota (Id: U-0387)",0.47,0.34,0.14,0.28,NA,0.69,NA,NA
"Krantiguru Shyamji Krishna Verma Kachchh University, Kachchh (Id: U-0142)",0.97,0.69,1.09,0.56,1,0,NA,NA
"Krishna Institute of Medical Sciences Deemed University, Karad (Id: U-0311)",2.21,2.41,1.5,1.32,NA,5,NA,NA
"Krishna Kanta Hanidiqui State Open University, Guwahati (Id: U-0054)",0.94,0.81,1.27,1.32,NA,NA,NA,NA
"Krishna University, Machhlipattanam (Id: U-0021)",1.14,1.29,0.55,1.37,NA,NA,NA,NA
"Kumaun University, Nainital (Id: U-0562)",0.97,0.68,0.83,1.1,NA,NA,NA,NA
"Kurukshetra University, Kurukshetra (Id: U-0164)",0.95,0.86,NA,0.93,0.5,0.33,1.29,1.2
"Kushabhau Thakre Patrakarita Avam Jansanchar Vishwavidyalaya, Raipur (Id: U-0089)",0.38,0.43,0.6,0.26,NA,0,NA,NA
"Kuvempu University, Shankaraghatta, Shimoga (Id: U-0232)",0.79,0.71,0.54,0.81,0.3,0.01,0.14,NA
"Lakshmibai National Institute of Physical Education, Gwalior (Id: U-0277)",0.37,0.37,0.21,0.34,NA,NA,NA,0.33
Lala lajpat Rai University of Veterinary and Animal Sciences (Id: U-0165),0.19,0.3,1,0.14,0,0.08,NA,NA
"Lalit Narayan Mithila University, Darbhanga (Id: U-0068)",1.06,0.67,3,0.71,0.79,2.21,NA,NA
"Lingaya's University, Faridabad (Id: U-0166)",0.35,NA,NA,NA,NA,NA,NA,0
"LNM Institute of Information Technology, Jaipur (Id: U-0405)",0.34,NA,NA,NA,NA,NA,NA,NA
"Lovely Professional University, Jullunder (Id: U-0379)",0.37,0.42,0.38,0.18,NA,NA,NA,0.46
"Lucknow University, Lucknow (Id: U-0524)",0.9,0.6,0.33,0.8,NA,NA,NA,NA
"Madras University, Chennai (Id: U-0462)",1.18,1.16,0.76,1.2,2.29,0.59,2,2.37
"Madurai Kamraj University, Madurai (Id: U-0463)",0.33,0.32,0,0.49,0.8,1.3,NA,NA
"Magadh University, Bodh Gaya (Id: U-0069)",0.48,0.52,NA,0.41,NA,0.6,NA,NA
Mahamaya Technical University (Id: U-0526),NA,NA,NA,NA,NA,NA,NA,NA
"Maharaja Ganga Singh University, Bikaner (Id: U-0406)",0.64,0.24,1,0.49,NA,0.2,1,NA
Maharaja Krishnakumarsinhji Bhavnagar University (Id: U-0124),0.88,0.69,1.12,0.55,0.14,0.08,NA,NA
"Maharaja Sayajirao University of Baroda, Vadodara (Id: U-0143)",1.1,0.84,0.86,0.76,NA,NA,NA,NA
"Maharana Pratap University of Agriculture & Technology, Udaipur (Id: U-0407)",0.56,0.53,0.43,0.35,NA,NA,NA,0.67
"Maharashi Markandeshwar University, Solan (Id: U-0187)",0.58,0.17,2,0.5,NA,NA,NA,NA
"MAHARASHI MARKENDESHWAR UNIVERSITY, SADOPUR-AMBALA (Id: U-0641)",0.33,0.19,0.12,0.18,0,0.09,0.67,0
"Maharashtra Animal & Fishery Sciences University, Nagpur (Id: U-0312)",NA,NA,NA,NA,NA,NA,NA,NA
"Maharashtra University of Health Sciences, Nashik (Id: U-0313)",0.15,1.17,NA,1.17,NA,NA,NA,NA
"Maharishi Dayanand Saraswati University, Ajmer (Id: U-0408)",0.74,0.36,0.12,0.57,NA,NA,NA,NA
"Maharishi Mahesh Yogi Vedic Vishwavidyalaya, Jabalpur (Id: U-0280)",0.46,0.42,0.39,0.48,0.2,0.44,0.46,NA
"Maharishi Markandeshwar University, Mullana-Ambala (Id: U-0168)",0.48,0.43,0.41,0.34,NA,0.34,0.96,0.52
"Maharishi Panini Sanskrit Vishwavidyalaya, Ujjain (Id: U-0281)",0.43,2,0.2,2,NA,NA,NA,NA
"Maharishi University of Management and Technology, Bilaspur (Id: U-0090)",0.76,0.79,0.64,0.76,NA,NA,NA,NA
"Maharshi Dayanand University, Rohtak (Id: U-0167)",0.86,0.63,1,0.86,0.41,NA,NA,1.43
"Mahatama Gandhi Antarrashtriya Hindi Vishwavidyalaya, Wardha (Id: U-0314)",0.46,0.56,0.32,0.45,NA,NA,NA,1.35
"Mahatama Gandhi Gramodaya Vishwavidyalaya, Chitrakoot, Satna (Id: U-0282)",0.47,0.36,0.42,0.4,0,NA,0.2,NA
"Mahatama Jyotiba Phule Rohikhand University, Bareilly (Id: U-0525)",0.44,0.39,0.55,0.33,NA,NA,NA,NA
"Mahatma Gandhi Kashi Vidyapeeth, Varanasi (Id: U-0527)",0,NA,NA,NA,NA,NA,NA,NA
"Mahatma Gandhi University, Kottayam (Id: U-0262)",1.33,1.5,1.09,1.73,1,1.12,1.26,0.8
"Mahatma Gandhi University, Nalgonda (Id: U-0022)",0.42,0.41,0.44,0.47,NA,1.33,NA,NA
"MAHATMA GANDHI UNIVERSITY OF MEDICAL SCIENCES AND TECHNOLOGY, JAIPUR (Id: U-0732)",0.72,0.55,0.44,0.59,NA,1,0.88,NA
"Mahatma Jyoti Rao Phoole University, Jaipur (Id: U-0409)",0.88,0.82,0.7,0.96,NA,0.21,NA,NA
"Mahatma Phule Krishi Vidyapeeth, Rahuri (Id: U-0315)",NA,NA,NA,NA,NA,NA,NA,NA
"Makhanlal Chaturvedi National University of Journalism and Communication, Bhopal (Id: U-0283)",0,NA,NA,NA,NA,NA,NA,NA
"Malviya National Institute of Technology, Jaipur (Id: U-0410)",0.22,0.17,0.3,0.16,0.15,NA,NA,0.36
"Manav Bharti University, Sultanpur, Solan (Id: U-0188)",0.19,NA,NA,NA,NA,NA,NA,NA
"Manav Rachna International University, Faridabad (Id: U-0169)",0.29,0.14,NA,0.1,NA,NA,NA,0.3
"Mangalayatan University, Aligarh (Id: U-0528)",0.25,0.14,0.67,0.15,2.33,NA,0.28,NA
"Mangalore University, Mangalore (Id: U-0233)",2.47,1.46,1.83,2.58,0.67,2.05,NA,NA
"Manipal Academy of Higher Education, Manipal (Id: U-0234)",0.82,NA,NA,NA,NA,NA,NA,0.41
"Manipur University, Imphal (Id: U-0337)",1.08,0.94,0.68,1.28,0.8,0.57,NA,NA
"Manonmaniam Sundaranar University, Tirunelveli (Id: U-0464)",1.88,1.51,1.43,2.22,0,NA,NA,NA
"MANYAWAR SHRI KANSHIRAM JI UNIVERSITY OF AGRICULTURE AND TECHNOLOGY, BANDA (Id: U-0707)",0,0,0,0,NA,0,NA,NA
"Marathwada Agricultural University, Parbhani (Id: U-0316)",0.49,0.45,0.38,0.66,NA,0.29,NA,0
"Martin Luther Christian University, Shillong (Id: U-0340)",1.24,NA,1.24,1,NA,NA,NA,2
"MATS University, Raipur (Id: U-0091)",0.4,0.51,0.66,0.3,NA,NA,NA,NA
"Maulana Azad National Institute of Technology, Bhopal (Id: U-0284)",0.2,0.19,0.2,0.12,NA,NA,NA,0.16
"Maulana Azad National Urdu University, Hyderabad (Id: U-0023)",0.86,0.42,0.59,0.94,0.61,0.43,NA,NA
"Maulana Mazharul Haque Arabic & Persian University, Patna (Id: U-0070)",0.6,NA,NA,NA,NA,0.66,0.38,NA
"Meenakshri Academy of Higher Education and Research, Chennai (Id: U-0465)",1.45,1.53,3.75,1.21,NA,1.06,NA,NA
"Mewar University, Chittorgarh (Id: U-0411)",0.23,0.19,0,0.11,NA,NA,NA,NA
"MGM Institute of Health Sciences, Navi Mumbai (Id: U-0317)",NA,NA,NA,NA,NA,NA,NA,NA
"M.G.R. Educational and Research Institute, Chennai (Id: U-0461)",0.15,0.24,0.2,0.15,NA,NA,NA,0.83
"Mizoram University, Aizwal (Id: U-0345)",0.84,0.5,0.92,0.36,NA,NA,0.92,NA
"Mody Institute of Technology & Science, Sikar (Id: U-0412)",NA,NA,NA,NA,NA,NA,NA,NA
"Mohammad Ali Jauhar University, Rampur (Id: U-0529)",0.08,0,NA,0.03,0,0.08,NA,NA
"Mohan Lal Sukhadia University, Uaipur (Id: U-0413)",0.72,0.44,0.28,0.57,0,0.7,0,NA
MONAD UNIVERSITY (Id: U-0644),0.05,0.06,NA,0.05,NA,NA,NA,NA
"Mother Teresa Women's University, Kodaikanal (Id: U-0466)",NA,NA,NA,NA,NA,NA,NA,NA
"Motilal Nehru Institute of Technology, Allahabad (Id: U-0530)",0.17,0.16,0.14,0.12,0.1,NA,NA,0.14
"M.P. Bhoj (Open) University, Bhopal (Id: U-0278)",0.61,0.46,0.53,0.61,NA,NA,NA,NA
Mumbai University Mumbai (Id: U-0318),0.87,0.67,0.58,0.75,0,1.15,0.61,0.2
"Mysore University, Mysore (Id: U-0235)",0.79,NA,NA,NA,NA,NA,NA,0.63
Nagaland University (Id: U-0347),0.8,0.5,0.87,0.25,NA,NA,0.98,NA
"Nalanda Open University, Patna (Id: U-0071)",0.44,0.28,1.15,0.35,NA,NA,NA,NA
"Narendra Deo University of Agriculture & Technology, Faizabad (Id: U-0531)",0.11,0.04,0.67,0.08,NA,NA,NA,NA
"Narsee Monjee Institute of Management Studies, Mumbai (Id: U-0319)",0.49,0.19,0.83,0.36,NA,NA,NA,1.67
National Academy of Legal Studies & Research (NALSR) University Hyderabad (Id: U-0024),0.73,1.28,0.88,NA,0.3,NA,NA,1.65
"National Brain Research Centre, Gurgaon (Id: U-0170)",0.79,1,NA,NA,0,NA,NA,NA
"National Dairy Research Institute, Karnal (Id: U-0171)",0.66,0.6,0.59,0.59,NA,NA,0,0.43
"National Institute of Fashion Technology, Hauz Khas (Id: U-0110)",NA,NA,NA,NA,NA,NA,NA,NA
"National Institute of Mental Health & Neuro Sciences, Bangalore (Id: U-0236)",2.02,1.44,5.5,1.52,0,NA,NA,NA
"National Institute of Pharmaceutical, Educational and Research, Mohali (Id: U-0380)",0.44,0.45,0.13,0.36,0.45,NA,NA,NA
"National Institute of Technology, Agartala (Id: U-0493)",0.16,0.14,0.14,0.14,0.2,0.2,0.07,NA
National Institute of Technology Arunachal Pradesh (Id: U-0615),0.24,0.11,0.56,0.24,0,0,NA,NA
"National Institute of Technology, Calicut (Id: U-0263)",0.3,0.32,0.18,0.25,0.09,NA,NA,NA
National Institute of Technology Delhi (Id: U-0622),0.13,0.09,0.18,0.12,NA,NA,NA,0.5
"National Institute of Technology, Durgapur (Id: U-0577)",0.21,0.22,0.26,0.14,0.13,0.11,0,0.17
National Institute of Technology Goa (Id: U-0620),0.22,0.09,0.67,0.33,0,NA,NA,NA
"National Institute of Technology, Hamirpur (Id: U-0189)",0.17,0.17,0.15,0.13,0.25,NA,NA,0
"National Institute of Technology, Jamshedpur (Id: U-0207)",0.13,0.1,0.16,0.1,0.08,NA,NA,0
"National Institute of Technology, Karnataka (Id: U-0237)",0.2,0.2,0.19,0.17,0.09,NA,NA,0.11
"National Institute of Technology, Kurukshetra (Id: U-0172)",0.18,0.17,0.2,0.11,0.03,0,0.21,0.23
National Institute of Technology Manipur (Id: U-0613),0.16,0.3,0.17,0.14,0,0,NA,NA
National Institute of Technology Meghalaya (Id: U-0619),0.18,0.15,0.44,0.14,0,0,0.17,NA
National Institute of Technology Mizoram (Id: U-0617),0.15,0.44,0.25,0.05,0,NA,NA,NA
National Institute of Technology Nagaland (Id: U-0618),0.17,0.24,0.32,0.12,NA,NA,NA,NA
"National Institute of Technology, Patna (Id: U-0072)",0.12,0.08,0.11,0.11,NA,0.17,NA,NA
National Institute of Technology Puducherry (Id: U-0621),0.3,0.46,0.15,0.25,0,0.17,0,NA
"National Institute of Technology, Raipur (Id: U-0092)",0.26,0.25,0.23,0.17,0.11,0.24,0.46,0
"National Institute of Technology, Rourkela (Id: U-0357)",0.24,0.35,0.19,0.2,0.27,0.06,0.23,NA
National Institute of Technology Sikkim (Id: U-0614),0.18,0.12,0.21,0.2,0,0,NA,NA
"National Institute of Technology, Silchar (Id: U-0055)",0.12,0.14,0.2,0.08,0.13,0.33,0.5,0.14
"National Institute of Technology, Srinagar (Id: U-0197)",0.1,0.09,0.15,0.09,0.11,0.13,0.04,0
"National Institute of Technology, Tiruchirapalli (Id: U-0467)",0.21,0.25,0.28,0.18,0.09,NA,NA,NA
National Institute of Technology Uttarakhand (Id: U-0616),0.07,0.15,0,0.04,0.33,0,0.06,NA
"National Institute of Technology, Warangal (Id: U-0025)",0.21,0.2,0.19,0.17,0.09,NA,NA,0.24
"National Law Institute University, Bhopal (Id: U-0285)",0.95,0.84,1.31,0.73,0.62,1,NA,NA
"National Law School of India University, Bangalore (Id: U-0238)",0.55,0.46,0.63,0.32,0.33,NA,NA,0.87
"National Law University, Cuttuck (Id: U-0358)",0.54,0.41,0.9,NA,0.4,0.75,0.57,NA
"National Law University, Delhi (Id: U-0111)",0.77,0.62,0.39,NA,1.67,NA,NA,1.22
"National Law University, Jodhpur (Id: U-0414)",0.73,0.72,0.83,NA,0.57,NA,NA,NA
National Museum Institute of Hisotry of Art Conservation and Musicology (Id: U-0112),3.71,0.6,NA,4,NA,6,NA,NA
"National University of Advanced Legal Studies, Kochi (Id: U-0264)",0.97,0.57,NA,1.02,0.2,0.95,1.38,NA
"National University of Education, Planning & Administration, New Delhi (Id: U-0114)",1.62,1,NA,2,NA,NA,NA,NA
"National University of Study & Research in Law, Ranchi (Id: U-0600)",0.86,1.17,1.86,0.5,NA,NA,NA,NA
"Nava Nalanda Mahavihara, Nalanda (Id: U-0073)",0.41,0.65,3,0.58,0,NA,0.02,0
Navrachana University (Id: U-0144),0.83,0.4,0.5,0.39,NA,0.38,0.8,NA
Navsari Agricultural University (Id: U-0145),NA,NA,NA,NA,NA,NA,NA,NA
"Nehru Gram Bharati, Allahabad (Id: U-0532)",0.65,0.65,1.15,0.54,NA,0.55,NA,NA
"Netaji Subhash Open University, Kolkata (Id: U-0578)",0.64,NA,NA,NA,NA,NA,NA,NA
NIILM UNIVERSITY (Id: U-0646),0.22,0.17,NA,0.35,NA,NA,NA,NA
"Nilamber-Pitamber University, Palamu (Id: U-0208)",0.85,0.41,1.76,0.54,NA,NA,NA,NA
"NIMS University, Jaipur (Id: U-0415)",0.32,0.32,0.58,0.31,0,0.25,NA,0
"Nirma University, Ahmedabad (Id: U-0146)",NA,NA,NA,NA,NA,NA,NA,NA
"NITTE Unversity, Mangalore (Id: U-0239)",2.11,1.7,3.33,1.81,0,2.02,1.08,2
Noida International University (Id: U-0533),0.1,NA,NA,NA,NA,NA,NA,0.11
"Noorul Islam Centre for Higher Education, Kanyakumari (Id: U-0468)",0.31,0.37,0,0.32,0.5,0.18,0.37,NA
"North Bengal University, Darjeeling (Id: U-0579)",1.23,0.87,1.87,NA,NA,0.65,NA,0.25
"North Eastern Hill University, Shillong (Id: U-0341)",1.45,0.69,1.87,0.79,1.29,0.23,1.87,0
"North Eastern Regional Institute of Science & Technology, Papum Pare, Itanagar (Id: U-0046)",0.34,0.25,0.4,0.3,0.2,0.38,0.57,NA
"North Maharashtra University, Jalgaon (Id: U-0320)",NA,NA,NA,NA,NA,NA,NA,NA
"North Orissa University, Mayurbhanj (Id: U-0359)",0.74,0.75,1.05,0.78,0,0,NA,NA
"O. P. Jindal Global University, Sonipat (Id: U-0173)",0.65,NA,NA,NA,NA,NA,NA,0.22
ORIENTAL UNIVERSITY (Id: U-0662),0.05,0.06,0.23,0.03,0,0.1,NA,NA
"Orissa University of Agriculture & Technology, Bhubaneswar (Id: U-0360)",1.01,1.24,1.08,NA,NA,NA,NA,NA
"Osmania University, Hyderabad (Id: U-0027)",0.9,0.71,0.57,0.92,0.18,0.7,NA,0.32
"Padmashree Dr. D. Y. Patil Vidyapeeth, , Mumbai (Id: U-0321)",1.36,1.09,0.66,1.07,4,1.05,3.95,1
"Palamuru University, Mahabubnagar (Id: U-0028)",0.63,0.77,0.46,0.55,0.12,1.11,2,NA
"Pandhi Dwarka Prasad Mishra Indian Institute of Information Technology & Manufacturing , Jabalpur (Id: U-0286)",0.11,0.09,0.04,0.1,NA,NA,NA,NA
"Pandit Deendayal Petroleum University, Gandhi Nagar (Id: U-0147)",0.18,0.02,0.02,0.02,NA,NA,NA,0
"Panjab University,Chandigarh (Id: U-0078)",0.76,0.79,0.72,0.55,0.72,NA,NA,0.9
"Patna University, Patna (Id: U-0074)",0.24,0.33,0.67,0.66,0,0.74,NA,NA
"PEC University of Technology, Chandigarh (Id: U-0080)",0.24,0.22,0.12,NA,0,NA,NA,0.27
PEOPLES UNIVERSITY (Id: U-0655),0.61,0.93,1.11,0.66,NA,NA,0.86,NA
"Periyar Maniammal Institute of Science & Technoloyg, Thanjavur (Id: U-0469)",0.54,0.57,0.6,0.53,NA,0.25,0.39,0.33
"Periyar University, Salem (Id: U-0470)",0.43,0.93,0.82,1.2,0.67,1.6,1,NA
"Pondicherry Univeristy, Puducherry (Id: U-0369)",0.56,0.45,0.45,0.67,0.29,NA,NA,0.33
"Ponnaiyah Ramajayam Institute of Science & Technology, Thanjavur (Id: U-0471)",0.37,0.36,0.23,0.39,NA,0.31,0.38,1
Post Graduate Institute of Medical Sciences (Id: U-0079),0.34,0.37,0.25,0.2,0.22,0,0,NA
"Potti Sri Ramulu Telugu University, Hyderabad (Id: U-0029)",0.33,0.09,0,0.26,NA,NA,NA,NA
"Pravara Institute of Medical Sciences, Ahmednagar (Id: U-0322)",1.21,1.55,1,1.05,NA,0.93,1.21,2
Presidency University (Id: U-0580),1.38,1.26,1.46,NA,NA,NA,NA,NA
"Pt. Bhagat Dyal University of Health Science, Rohtak (Id: U-0174)",1.18,1.69,NA,0.95,NA,NA,NA,NA
"Pt. Ravishankar Shukla University, Raipur (Id: U-0093)",1.13,0.66,1.15,1.02,NA,NA,NA,NA
"Pt. Sundarlal Sharma (Open) University, Bilaspur (Id: U-0094)",0.55,0.72,0.5,0.49,NA,NA,NA,NA
"Pune University, Pune (Id: U-0323)",0.71,0.58,0.38,0.55,NA,NA,NA,0.54
"Punjab Agricultural University, Ludhiana (Id: U-0381)",1.21,0.92,1.5,0.33,0.04,0.04,1.43,0
"Punjabi University, Patiala (Id: U-0383)",1.02,0.75,1.25,0.69,0.48,NA,0.51,2
"Punjab Technical University, Jalandhar (Id: U-0382)",NA,NA,NA,NA,NA,NA,NA,NA
"Rabindra Bharati University, Kolkata (Id: U-0581)",1.92,1.19,1.02,1.17,1.23,1.28,1,0.8
RAFFLLES UNIVERSITY (Id: U-0640),0.15,0,0,0.08,NA,0,NA,0.33
"Raja Mansingh Tomar Music & Arts University, Gwalior (Id: U-0629)",1.14,NA,NA,NA,NA,NA,NA,NA
"Rajasthan Agricultural University, Bikaner (Id: U-0417)",NA,NA,NA,NA,NA,NA,NA,NA
"Rajasthan Ayurveda University, Jodhpur (Id: U-0418)",0.71,0.59,0.66,0.74,0.41,0.35,4,NA
"Rajasthan Technical University, Kota (Id: U-0419)",NA,NA,NA,NA,NA,NA,NA,NA
